,event_name,show_red,show_green,show_yellow,show_living_room,show_bathroom,show_kitchen,show_attention_question,answer_attention_question,show_binding_trials,stop_binding_trials,show_difficulty_question,answer_difficulty_question,show_object_in_test_trial,start_retrieval_time,answer_on_retrieval_time,show_retrieval_question,answer_retrieval_question,show_colors_answers,answer_color_question,show_scenes_answers,answer_scene_question,stage,trial_num,fl_trial_index,fl_feature,fl_word_question,fl_user_answer,fl_is_right,fl_feature_appear,bl_block,bl_object,bl_binding_trial,bl_binding_trial_in_block,bl_colors,bl_scenes,bl_difficulty,bl_binding_object_appear,tp_block,tp_object,tp_binding_trial,tp_colors,tp_scenes,tp_difficulty,tp_test_trial,tp_subject_color,tp_subject_scene,tp_color_correct,tp_scene_correct,tp_both_correct,tp_color_rt_ms,tp_scene_rt_ms,tp_first_question,tp_test_object_appear
45,show_bathroom,,,,,0.0,,,,,,,,,,,,,,,,,fl,15,15,bathroom,bathroom,right,True,2026-04-12_13-07-39.724,,,,,,,,,,,,,,,,,,,,,,,,
46,show_attention_question,,,,,,,0.0,,,,,,,,,,,,,,,fl,15,15,bathroom,bathroom,right,True,2026-04-12_13-07-39.724,,,,,,,,,,,,,,,,,,,,,,,,
47,answer_attention_question,,,,,,,,0.0,,,,,,,,,,,,,,fl,15,15,bathroom,bathroom,right,True,2026-04-12_13-07-39.724,,,,,,,,,,,,,,,,,,,,,,,,
48,show_green,,0.0,,,,,,,,,,,,,,,,,,,,fl,16,16,green,yellow,left,True,2026-04-12_13-07-47.583,,,,,,,,,,,,,,,,,,,,,,,,
49,show_attention_question,,,,,,,0.0,,,,,,,,,,,,,,,fl,16,16,green,yellow,left,True,2026-04-12_13-07-47.583,,,,,,,,,,,,,,,,,,,,,,,,
50,answer_attention_question,,,,,,,,0.0,,,,,,,,,,,,,,fl,16,16,green,yellow,left,True,2026-04-12_13-07-47.583,,,,,,,,,,,,,,,,,,,,,,,,
51,show_kitchen,,,,,,0.0,,,,,,,,,,,,,,,,fl,17,17,kitchen,kitchen,right,True,2026-04-12_13-07-55.879,,,,,,,,,,,,,,,,,,,,,,,,
52,show_attention_question,,,,,,,0.0,,,,,,,,,,,,,,,fl,17,17,kitchen,kitchen,right,True,2026-04-12_13-07-55.879,,,,,,,,,,,,,,,,,,,,,,,,
53,answer_attention_question,,,,,,,,0.0,,,,,,,,,,,,,,fl,17,17,kitchen,kitchen,right,True,2026-04-12_13-07-55.879,,,,,,,,,,,,,,,,,,,,,,,,
54,show_green,,0.0,,,,,,,,,,,,,,,,,,,,fl,18,18,green,red,left,True,2026-04-12_13-08-04.156,,,,,,,,,,,,,,,,,,,,,,,,
55,show_attention_question,,,,,,,0.0,,,,,,,,,,,,,,,fl,18,18,green,red,left,True,2026-04-12_13-08-04.156,,,,,,,,,,,,,,,,,,,,,,,,
56,answer_attention_question,,,,,,,,0.0,,,,,,,,,,,,,,fl,18,18,green,red,left,True,2026-04-12_13-08-04.156,,,,,,,,,,,,,,,,,,,,,,,,
57,show_living_room,,,,0.0,,,,,,,,,,,,,,,,,,fl,19,19,living_room,living_room,right,True,2026-04-12_13-08-12.089,,,,,,,,,,,,,,,,,,,,,,,,
58,show_attention_question,,,,,,,0.0,,,,,,,,,,,,,,,fl,19,19,living_room,living_room,right,True,2026-04-12_13-08-12.089,,,,,,,,,,,,,,,,,,,,,,,,
59,answer_attention_question,,,,,,,,0.0,,,,,,,,,,,,,,fl,19,19,living_room,living_room,right,True,2026-04-12_13-08-12.089,,,,,,,,,,,,,,,,,,,,,,,,
60,show_living_room,,,,0.0,,,,,,,,,,,,,,,,,,fl,20,20,living_room,bathroom,left,True,2026-04-12_13-08-21.593,,,,,,,,,,,,,,,,,,,,,,,,
61,show_attention_question,,,,,,,0.0,,,,,,,,,,,,,,,fl,20,20,living_room,bathroom,left,True,2026-04-12_13-08-21.593,,,,,,,,,,,,,,,,,,,,,,,,
